record_id,landslide_id,state,district,location,latitude,longitude,movement_type,history,event_date,road_distance_m,settlement_distance_m,amenity_distance_m,road_density_500m_km_per_km2,settlements_within_1km,amenities_within_1km,near_road_250m,near_settlement_1km,near_amenity_1km
26214,SKM/SOUTH/78A08/2017/001,Sikkim,South Sikkim,"Gumpa Monastery, Upper Gurpisey State Highway (Namchi-",27.172228,88.372,Debris Complex,2017,,95.07678128042255,954.5896525171346,225.7648257537656,32.59462290097733,1,7,1,1,1
26215,SKM/SS/78A08/2015/210,Sikkim,South Sikkim,Namchi-Namthang Road,27.172333,88.381444,Debris Slide,,,6.932896497724563,1750.5022716822978,648.0577583240175,39.404250466698336,0,4,1,0,1
26216,SKM/SS/78A08/2015/297,Sikkim,South Sikkim,Namchi-Jorthang Road,27.172444,88.386972,Rock Slide,,,5.556937746325858,2268.245380618252,1104.5461082470908,27.57378533844373,0,0,1,0,0
26217,SKM/NS/78A04/2017/136,Sikkim,West Sikkim,Ribdi SH,27.172444,88.089528,Earth Slide,,,5.676553034145749,1881.8008342878227,1267.0799278763145,19.471291195449435,0,0,1,0,0
26218,SKM/NS/78A04/2017/138,Sikkim,West Sikkim,SH,27.173861,88.092111,Earth Slide,,,4.511715331746466,2150.218163760708,1525.475086274235,17.188861642135777,0,0,1,0,0
26219,SKM/SS/78A08/2015/296,Sikkim,South Sikkim,Namchi-Jorthang Road,27.173917,88.38525,Rock Slide,,,12.04531817782837,2166.2826875537335,869.7637214817587,37.098869570441046,0,3,1,0,1
26220,SKM/SS/78A08/2015/182,Sikkim,South Sikkim,Namchi-Namthang Road,27.174389,88.452028,Debris Slide,,,1.0875448378374157,2667.3273700418163,4324.781070934976,24.143185891859478,0,0,1,0,0
26221,SKM/SS/78A08/2015/295,Sikkim,South Sikkim,Namchi-Jorthang Road,27.175,88.385028,Rock Slide,,,11.824705493609535,2197.118040612333,765.4273560360081,37.098869570441046,0,4,1,0,1
26222,SKM/SS/78A08/2015/300,Sikkim,South Sikkim,Namchi-Jorthang Road,27.175778,88.402417,Debris Slide,,,1.7304715308791225,3839.8269858266503,699.4120523059404,16.003185667021008,0,1,1,0,1
26223,SKM/SS/78A08/2015/305,Sikkim,South Sikkim,Perbing-Chuba Road,27.176,88.429556,Debris Slide,,,6.483094510456369,2546.2907104459614,2517.024358601335,23.735550890356286,0,0,1,0,0
26224,SKM/SS/78A08/2015/299,Sikkim,South Sikkim,Namchi-Jorthang Road,27.176944,88.402056,Debris Slide,,,3.199127855965799,3843.763595143214,597.103753849889,15.753391611451853,0,1,1,0,1
26225,SKM/SS/78A08/2015/301,Sikkim,South Sikkim,Namchi-Jorthang Road,27.177056,88.402611,Rock Slide,,,10.113770865418632,3899.8866203308985,561.3560320298895,15.753391611451853,0,1,1,0,1
26226,SKM/SS/78A08/2015/263,Sikkim,South Sikkim,,27.177167,88.369611,Rock Slide,,,182.0728375702364,1298.9834110385257,373.0746798609489,30.76275183807969,0,4,1,0,1
26227,SKM/SS/78A08/2015/306,Sikkim,South Sikkim,Perbing-Chuba Road,27.178111,88.430556,Debris Slide,,,85.09916447354992,2743.289494220331,2566.916861207753,25.133573745735912,0,0,1,0,0
26228,SKM/ES/78A12/2015/101,Sikkim,East Sikkim,Rangpo-Rorathang Road,27.178889,88.533097,Rock Slide,,,3.811113985469074,563.9240923780383,557.9335751682854,33.29804873600086,1,3,1,1,1
26229,SKM/NS/78A04/2017/106,Sikkim,West Sikkim,SH,27.179278,88.190972,Earth Slide,,,7.44364305376843,875.1260520522235,772.3379017229796,13.009226171463125,1,2,1,1,1
26230,SKM/ES/78A12/2015/141,Sikkim,East Sikkim,NH-31A,27.179639,88.519778,Debris Slide,,,4.918959408914613,1194.8386841613556,462.5708848533736,42.00625573233595,0,1,1,0,1
26231,SKM/ES/78A12/2015/143,Sikkim,East Sikkim,NH-31A,27.180417,88.51025,Rock Slide,,,5.373813478451373,866.1349591054636,111.01349143412993,7.266916958062728,1,17,1,1,1
26232,SKM/ES/78A12/2015/142,Sikkim,East Sikkim,NH-31A,27.180528,88.518611,Debris Slide,,,2.937724073465861,1343.986407858939,614.1206782282496,25.831723399519998,0,2,1,0,1
26233,SKM/NS/78A04/2017/105,Sikkim,West Sikkim,Gumpa Dara SH,27.181167,88.192028,Debris Slide,,,8.698986430646842,719.3350097267994,715.6897783872129,12.007558365638312,1,2,1,1,1
26234,SKM/WS/78A08/2015/378,Sikkim,West Sikkim,,27.181222,88.309528,Debris Slide,,,3.910000374379201,3460.4197297086216,1880.0898142197439,12.710378404108747,0,0,1,0,0
26235,SKM/SS/78A08/2015/298,Sikkim,South Sikkim,Namchi-Jorthang Road,27.18175,88.395778,Debris Slide,,,19.962213285273176,3489.5617906724983,909.3846771335731,16.712616350221435,0,1,1,0,1
26236,SKM/ES/78A12/2015/144,Sikkim,East Sikkim,NH-31A,27.182111,88.508,Rock Slide,,,0.4346283952533124,577.0908919491126,279.2284798836941,10.04147636089251,1,22,1,1,1
26237,SKM/NS/78A03/2017/82,Sikkim,West Sikkim,Barakheley Dara SH,27.185944,88.197944,Debris Slide,,,8.804569633710232,440.2985263912908,795.5248901074852,8.962396975791753,1,1,1,1,1
26238,SKM/NS/78A03/2017/83,Sikkim,West Sikkim,SH,27.185972,88.205833,Earth Slide,,,1.1531761642083118,782.0653444000392,1060.1720745980485,7.78451344724443,1,0,1,1,0
26239,SKM/WS/78A08/2015/351,Sikkim,West Sikkim,legship-Sikkip Road,27.186361,88.320417,Debris Slide,,,3.8484962854451448,3562.873688231912,1706.475411114931,8.801367375234467,0,0,1,0,0
26240,SKM/NS/78A03/2017/84,Sikkim,West Sikkim,SH,27.186611,88.206278,Earth Slide,,,6.9140128149342175,858.2855931327456,1142.4971699999667,5.769445031418862,1,0,1,1,0
26241,SKM/ES/78A12/2015/102,Sikkim,East Sikkim,Rangpo-Rorathang Road,27.18815,88.562083,Debris Slide,,,17.192694725714897,3492.9840543488353,3531.448133267618,13.982479869589477,0,0,1,0,0
26242,SKM/ES/78A12/2015/145,Sikkim,East Sikkim,NH-31A,27.188528,88.501194,Rock Slide,,,8.791738886976415,450.40316981091314,141.54380288333616,13.701251614483937,1,26,1,1,1
26243,SKM/SS/78A08/2015/197,Sikkim,South Sikkim,Namchi-Damthang Road,27.189222,88.391056,Debris Slide,,,5.175649714851399,3620.9301757488633,665.1216522283788,21.42410979391372,0,1,1,0,1
26244,SKM/ES/78A12/2015/103,Sikkim,East Sikkim,Rangpo-Rorathang Road,27.189261,88.595686,Debris Slide,,,6.706192231175107,1777.9619956902256,3824.5739516080375,13.982479869589477,0,0,1,0,0
26246,SKM/ES/78A12/2015/104,Sikkim,East Sikkim,Rangpo-Rorathang Road,27.190067,88.596483,Rock Slide,,,1.2473314897046934,1667.2631282727148,3764.975361554156,13.982479869589477,0,0,1,0,0
26247,SKM/ES/78A12/2015/105,Sikkim,East Sikkim,Rangpo-Rorathang Road,27.190833,88.596889,Debris Slide,,,0.8971316940839157,1594.9950538603277,3744.823464170418,13.982479869589477,0,0,1,0,0
26248,SKM/WS/78A08/2015/350,Sikkim,West Sikkim,legship-Sikkip Road,27.191639,88.325861,Debris Slide,,,2.03668104746408,3915.598415442695,2227.7803765533354,18.11962137906167,0,0,1,0,0
26249,SKM/WS/78A08/2015/374,Sikkim,West Sikkim,Sangadorji-Bum Road,27.191917,88.2885,Debris Slide,,,12.967052036443413,3719.959366388493,3165.0766746761237,42.50084734257925,0,0,1,0,0
