cell_id,label,elevation_m,slope_deg,elevation_std_m,slope_score,ruggedness_score,elevation_score,terrain_instability_score,terrain_instability_category
500_508,1,1578.0,23.35834312438965,11.002805709838867,34.12942989214176,36.74884437596302,42.68104776579353,39.36055469953775,MODERATE
501_470,1,2014.0,34.80475997924805,16.636268615722656,74.26810477657936,72.1879815100154,58.089368258859785,72.60785824345147,HIGH
501_529,1,986.0,32.99371337890625,16.060840606689453,67.2573189522342,68.56702619414484,18.6055469953775,61.92411402157165,HIGH
501_531,1,933.0,44.7514762878418,22.24498748779297,94.68412942989214,91.06317411402158,17.4884437596302,82.4653312788906,EXTREME
503_461,1,2013.0,38.31543731689453,18.87384986877441,83.89830508474576,82.28043143297381,57.89676425269646,80.39869029275809,EXTREME
505_335,1,698.0,22.467409133911133,10.360179901123049,32.01078582434514,32.74268104776579,12.865947611710324,32.72149460708783,MODERATE
505_338,1,792.0,19.7655086517334,9.067646980285645,26.617873651771955,26.733436055469955,14.946070878274268,28.565100154083204,MODERATE
505_410,1,1507.0,11.644421577453612,5.606433868408203,15.408320493066254,15.63944530046225,38.25115562403698,23.12211093990755,LOW
505_647,0,2951.0,20.30273628234864,8.419553756713867,27.619414483821263,23.959938366718028,67.18027734976889,36.25770416024653,MODERATE
506_339,1,846.0,29.9395751953125,13.668925285339355,57.04930662557781,53.312788906009246,15.793528505392912,52.074345146379045,HIGH
506_378,1,1821.0,40.16179656982422,20.98029518127441,88.09707241910631,88.4437596302003,53.62095531587057,83.60747303543913,EXTREME
506_420,1,1911.0,27.7541561126709,13.557376861572266,49.30662557781202,52.08012326656395,55.46995377503852,53.45916795069338,HIGH
506_422,1,1942.0,36.27477264404297,19.14531898498535,78.42835130970724,83.35901386748844,56.39445300462249,77.43451463790447,EXTREME
506_464,1,2041.0,24.59270095825196,13.039352416992188,37.673343605547,48.228043143297384,58.93682588597843,46.61787365177196,MODERATE
507_422,1,2013.0,40.42688751220703,19.714630126953125,88.36671802773498,84.51463790446842,57.89676425269646,83.41486902927582,EXTREME
508_338,1,830.0,27.395484924316406,12.631529808044434,47.95839753466872,46.070878274268104,15.562403697996919,45.22919876733436,MODERATE
508_340,1,940.0,24.23228454589844,11.344221115112305,36.71032357473035,38.71340523882897,17.719568567026194,37.526964560862865,MODERATE
508_349,0,1111.0,28.94569396972656,13.833221435546877,53.428351309707246,54.54545454545454,21.417565485362093,51.234591679506934,HIGH
508_1254,0,5001.0,23.35834312438965,10.79208755493164,34.12942989214176,35.208012326656394,88.98305084745762,45.92064714946071,MODERATE
509_340,1,939.0,26.376728057861328,11.528815269470217,43.56702619414484,39.984591679506934,17.64252696456086,41.604391371340526,MODERATE
509_374,1,1828.0,37.9329833984375,20.116943359375,83.01232665639445,85.43913713405239,53.929121725731896,80.10593220338983,EXTREME
