cell_id,label,susceptibility_probability,susceptibility_category,susceptibility_alert,decision_threshold,model_name
282_49,0,0.13800208810797052,LOW,0,0.45,RandomForest
282_503,1,0.9742312352818682,VERY_HIGH,1,0.45,RandomForest
282_578,1,0.8911859082210146,VERY_HIGH,1,0.45,RandomForest
282_1317,0,0.001021798365122616,LOW,0,0.45,RandomForest
283_447,0,0.0058312937403714165,LOW,0,0.45,RandomForest
283_522,1,0.9684201213818864,VERY_HIGH,1,0.45,RandomForest
283_560,1,0.9145758816550162,VERY_HIGH,1,0.45,RandomForest
283_573,1,0.9735652736770385,VERY_HIGH,1,0.45,RandomForest
283_574,1,0.9512974662592311,VERY_HIGH,1,0.45,RandomForest
283_575,1,0.8030531437235294,VERY_HIGH,1,0.45,RandomForest
283_1089,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
283_1342,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
286_916,0,0.0048467983651226156,LOW,0,0.45,RandomForest
287_381,1,0.9674745086577061,VERY_HIGH,1,0.45,RandomForest
287_575,1,0.9095131464231007,VERY_HIGH,1,0.45,RandomForest
287_915,0,0.0026706078889321395,LOW,0,0.45,RandomForest
288_502,1,0.9855614854215919,VERY_HIGH,1,0.45,RandomForest
289_1159,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
290_389,1,0.9730592025352572,VERY_HIGH,1,0.45,RandomForest
290_496,1,0.9772243381372613,VERY_HIGH,1,0.45,RandomForest
290_497,1,0.9958462585034015,VERY_HIGH,1,0.45,RandomForest
292_192,0,0.16308371260737003,LOW,0,0.45,RandomForest
292_534,1,0.9846765124918515,VERY_HIGH,1,0.45,RandomForest
293_535,1,0.9538859821888214,VERY_HIGH,1,0.45,RandomForest
294_537,1,0.9929699633699635,VERY_HIGH,1,0.45,RandomForest
294_571,1,0.8960453905571558,VERY_HIGH,1,0.45,RandomForest
295_538,1,0.9911380952380953,VERY_HIGH,1,0.45,RandomForest
295_704,0,0.002940845984170235,LOW,0,0.45,RandomForest
296_126,0,0.18722411710991835,LOW,0,0.45,RandomForest
296_534,1,0.6895419358419356,HIGH,1,0.45,RandomForest
296_640,0,0.009239980183304434,LOW,0,0.45,RandomForest
297_393,1,0.8930097497652418,VERY_HIGH,1,0.45,RandomForest
297_422,1,0.9683542483660131,VERY_HIGH,1,0.45,RandomForest
297_537,1,0.9691501504447935,VERY_HIGH,1,0.45,RandomForest
298_424,1,0.965708938120703,VERY_HIGH,1,0.45,RandomForest
300_218,0,0.6347898050315699,HIGH,1,0.45,RandomForest
300_539,1,0.9731989865561294,VERY_HIGH,1,0.45,RandomForest
301_14,0,0.016410469404228436,LOW,0,0.45,RandomForest
301_608,1,0.9589627340682575,VERY_HIGH,1,0.45,RandomForest
301_865,0,0.021879233578311248,LOW,0,0.45,RandomForest
302_513,1,0.9404491280038775,VERY_HIGH,1,0.45,RandomForest
302_539,1,0.9712682783754214,VERY_HIGH,1,0.45,RandomForest
302_874,0,0.024893043102120774,LOW,0,0.45,RandomForest
302_1466,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
304_429,1,0.8360817541935189,VERY_HIGH,1,0.45,RandomForest
304_563,1,0.9842318877204423,VERY_HIGH,1,0.45,RandomForest
305_463,1,0.9583711603429254,VERY_HIGH,1,0.45,RandomForest
306_907,0,0.0010217983651226157,LOW,0,0.45,RandomForest
308_510,1,0.995377435064935,VERY_HIGH,1,0.45,RandomForest
311_430,1,0.9055127287744934,VERY_HIGH,1,0.45,RandomForest
