hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
637_3002,2,3002126.488808012,637848.6038078691,25.0,MODERATE
637_3004,2,3004264.5039152782,637760.2499559605,25.0,MODERATE
637_3005,2,3005517.638311752,637113.2726470178,25.0,MODERATE
637_3006,3,3006442.2663688045,637283.3219365332,37.5,MODERATE
637_3008,3,3008584.6488862517,637595.4113961355,37.5,MODERATE
637_3009,1,3009620.3337938488,637826.0465154052,12.5,LOW
637_3010,3,3010667.4442928485,637708.0564445256,37.5,MODERATE
637_3011,5,3011430.4525403013,637703.0687517405,62.5,HIGH
637_3015,3,3015320.7527072546,637418.884668925,37.5,MODERATE
637_3017,2,3017392.250783179,637764.4384144356,25.0,MODERATE
637_3020,1,3020110.4236121336,637401.4329389143,12.5,LOW
638_2998,5,2998410.9295023405,638598.7332008523,62.5,HIGH
638_3001,1,3001995.3228073027,638224.558745631,12.5,LOW
638_3002,1,3002461.2428137837,638894.0203637799,12.5,LOW
638_3005,1,3005655.257420203,638836.258686675,12.5,LOW
638_3006,3,3006771.3736201436,638925.687494421,37.5,MODERATE
638_3007,1,3007335.433853412,638267.0713003144,12.5,LOW
638_3010,1,3010755.090613786,638581.1377851872,12.5,LOW
638_3011,2,3011368.1875446695,638636.2516874388,25.0,MODERATE
638_3015,1,3015469.997141525,638291.8724060869,12.5,LOW
638_3017,2,3017670.6680322504,638443.3136131656,25.0,MODERATE
639_2997,1,2997288.0948513346,639475.0012494032,12.5,LOW
639_2998,3,2998552.328922739,639137.7123666751,37.5,MODERATE
639_3002,2,3002053.634398812,639182.1222884835,25.0,MODERATE
639_3004,1,3004177.7131342096,639915.5191072241,12.5,LOW
639_3005,2,3005227.7142537883,639549.9618274551,25.0,MODERATE
640_2996,1,2996935.8552676686,640440.3773991077,12.5,LOW
640_2997,1,2997199.721557839,640101.3312551897,12.5,LOW
640_3001,1,3001627.7439390067,640032.2222266069,12.5,LOW
640_3004,3,3004902.98705621,640635.9477296062,37.5,MODERATE
640_3005,2,3005467.7595754974,640229.9147737275,25.0,MODERATE
640_3015,2,3015850.6767273163,640665.4724015712,25.0,MODERATE
640_3018,1,3018462.766962876,640048.6846403938,12.5,LOW
640_3020,1,3020434.5091688097,640496.5130670966,12.5,LOW
640_3021,1,3021753.4077023696,640366.0186664273,12.5,LOW
640_3022,1,3022087.9704676853,640293.5331576795,12.5,LOW
641_3004,2,3004696.6923521347,641580.676339916,25.0,MODERATE
641_3006,2,3006853.63084389,641669.0207477682,25.0,MODERATE
641_3013,1,3013371.7849783967,641902.7333903951,12.5,LOW
