incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category
RISK_ZONE_CLUSTER_32,2,79.37117675582513,76.45353559378948,58.57537483118678,CRITICAL,0,3003950.5044235187,629996.000872824,"415_392,419_394",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_33,2,79.60899654502226,76.13777761874846,57.74722759303623,CRITICAL,0,3001000.5044235187,630646.000872824,"422_365,425_362",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_34,2,77.12415984408705,72.64925774540578,57.032362314077744,CRITICAL,0,3009900.5044235187,631096.000872824,"428_451,428_454",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_35,5,80.16856851143925,74.39093908140552,58.54078125222225,CRITICAL,0,3001550.5044235187,633016.000872824,"445_369,446_365,448_373,448_377,449_361",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_36,3,83.48449972095167,80.1395890996311,59.95041942024976,CRITICAL,0,3004650.5044235187,633296.000872824,"448_400,449_400,453_400",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_37,3,80.1068083046416,76.95800596091615,58.59894004559774,CRITICAL,0,3014150.5044235187,633762.6675394906,"452_495,454_496,458_494",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_38,3,78.84082423384099,76.46838149026958,57.92751139897457,CRITICAL,0,3005517.1710901856,633596.000872824,"453_407,453_408,453_411",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_39,2,79.46131877392446,76.91022068580301,58.13636648392811,CRITICAL,0,3009250.5044235187,633996.000872824,"455_445,459_447",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_4,3,84.16187627803059,79.83788100933673,60.61986961682231,CRITICAL,0,3016883.837756852,612962.6675394906,"243_522,247_523,250_522",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_40,2,78.7138480205306,77.4263877154687,58.08416684757103,CRITICAL,0,3018800.5044235187,635546.000872824,"472_543,473_540",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_41,2,78.23667606036173,77.95718765160763,58.117669954736186,CRITICAL,0,3002700.5044235187,635596.000872824,"473_380,473_381",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_42,4,82.08314554012628,80.65903545016982,59.8475147390841,CRITICAL,0,3011925.5044235187,635971.000872824,"474_471,476_474,477_475,480_471",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_43,2,79.47497514637914,77.65318541892543,58.61814972044024,CRITICAL,0,3003150.5044235187,635946.000872824,"475_386,478_384",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_44,2,81.28218653178045,78.80080573826413,58.46130886449819,CRITICAL,0,3020950.5044235187,636046.000872824,"477_561,478_565",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_45,2,76.08604874893027,67.1247092594389,53.2976422998298,CRITICAL,0,3012750.5044235187,636496.000872824,"482_479,482_483",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_46,5,82.9871938625393,76.1022639484477,59.85181872426036,CRITICAL,0,3006270.5044235187,637176.000872824,"486_416,489_412,489_418,489_419,491_416",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_47,5,79.50980892347161,75.87925726342917,58.39512903257255,CRITICAL,0,3001950.5044235187,637696.000872824,"489_371,491_371,495_374,496_376,499_373",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_48,2,77.54927975237658,75.17934698579164,56.73531513249952,CRITICAL,0,3008800.5044235187,637496.000872824,"491_442,493_441",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_49,2,75.92262854778855,74.78244234982913,56.96912397090365,CRITICAL,0,3015450.5044235187,637596.000872824,"492_508,494_508",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_5,7,82.40178849402427,78.14500461932937,59.94649796625384,CRITICAL,0,3000664.7901378046,613138.8580156812,"246_358,247_358,247_361,248_366,249_358,250_362,252_358",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_50,6,82.19447205595054,76.60935975901536,59.85874357528967,CRITICAL,0,3011200.5044235187,637846.000872824,"494_471,495_461,495_469,496_463,496_465,497_464",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_51,2,81.10489288267065,80.36631759466172,59.45616220562627,CRITICAL,0,3004250.5044235187,637796.000872824,"495_395,495_397",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_52,3,81.4634417787113,77.74098837855395,59.41518012354753,CRITICAL,0,3017550.5044235187,638262.6675394906,"497_527,501_529,501_531",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_53,8,80.81310935939332,73.05381232826866,58.73988044560929,CRITICAL,0,2998488.0044235187,638808.500872824,"500_338,500_339,505_335,505_338,506_339,508_338,508_340,509_340",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_54,2,81.24838926443408,77.35824456421886,59.19680690642096,CRITICAL,0,3010900.5044235187,638746.000872824,"503_461,506_464",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_55,2,82.85047403602732,82.00129708244077,60.12723622463676,CRITICAL,0,3002250.5044235187,639046.000872824,"506_378,509_374",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_56,3,81.10004750513113,78.61224638364077,58.96548684135765,CRITICAL,0,3006783.837756852,638929.3342061572,"506_420,506_422,507_422",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_57,3,81.80040400980056,79.2383135694458,59.41160702584821,CRITICAL,0,3005117.1710901856,639996.000872824,"515_405,517_406,519_403",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_58,2,64.29686855681575,55.594231180654916,47.13248562046341,WATCH,0,2997050.5044235187,640246.000872824,"518_325,521_323",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_59,2,71.06018867939609,68.73259026667853,53.84124195663349,WATCH,0,3021900.5044235187,640346.000872824,"520_574,521_571",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_6,3,80.21043624753871,75.74246082579653,58.43938789386552,CRITICAL,0,3005150.5044235187,613262.6675394906,"248_404,250_404,251_407",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_60,2,80.66750727864515,80.26632304885169,59.17696110906395,CRITICAL,0,3015850.5044235187,640696.000872824,"522_511,526_513",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_61,4,82.31203059940103,81.57589432392658,59.89408424468154,CRITICAL,0,3004775.5044235187,641221.000872824,"524_401,527_403,531_402,535_399",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_62,2,78.29353749540928,70.1541257970387,55.05029920878098,CRITICAL,0,3006850.5044235187,641646.000872824,"533_421,534_423",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_63,2,79.93154105312227,79.89857811412028,58.92391816804378,CRITICAL,0,3017250.5044235187,641596.000872824,"533_525,533_527",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_64,3,80.46845245272924,80.17795441849871,59.00776635844539,CRITICAL,0,3010083.837756852,642996.000872824,"545_453,546_455,550_455",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_65,2,76.17043753843929,66.57749633050761,55.62854937115173,CRITICAL,0,3001550.5044235187,642946.000872824,"546_369,547_369",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_66,2,75.92581051253197,70.7612656263191,54.14471139007061,CRITICAL,0,2996600.5044235187,643296.000872824,"549_320,551_319",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_67,2,74.57084302953118,72.7773100470819,56.14080786142521,WATCH,0,3005400.5044235187,644696.000872824,"562_407,566_408",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_68,4,78.25812813576199,70.9623404230628,56.82128198835715,CRITICAL,0,3013900.5044235187,646996.000872824,"583_493,587_492,589_492,589_493",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_69,7,82.25947036866394,76.4491273558509,59.79070484658356,CRITICAL,0,3005136.218709233,647653.1437299668,"588_407,590_414,592_410,595_402,595_406,597_398,598_397",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_7,4,79.08543887114715,74.60899053311451,58.05102745209014,CRITICAL,0,3015425.5044235187,613496.000872824,"251_505,251_510,252_509,254_507",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_70,3,78.37029554730042,66.71990334237759,55.54390105334906,CRITICAL,0,3012383.837756852,647829.3342061572,"594_475,596_477,596_480",CRITICAL_RISK_ZONE
