cell_id,susceptibility_probability,susceptibility_category,terrain_instability_score,terrain_instability_category,exposure_score,exposure_category,dominant_exposure,spatial_pressure_score,spatial_category,confidence_score,uncertainty_score,confidence_category,risk_label,primary_reason,recommended_action,explanation,rainfall_trigger_score,rainfall_trigger_category,soil_wetness_score,soil_wetness_category,temporal_trajectory,temporal_category,anomaly_score,anomaly_category,sar_data_quality,unified_risk_score,unified_risk_category
53_566,0.3586772402235446,MODERATE,28.04699537750385,MODERATE,52.35401120032919,HIGH,TRANSPORT,0.0,LOW,53.83474530905151,46.16525469094849,LOW,MODERATE SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,MODERATE SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,32.01024663472183,MODERATE
53_801,0.0006665180522151,LOW,74.8555469953775,HIGH,23.609686367500583,LOW,INFRASTRUCTURE,0.0,LOW,83.12653166852391,16.87346833147609,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,20.949825735662444,LOW
59_1544,0.0123489023345994,LOW,18.7037750385208,LOW,41.38803324082538,MODERATE,TRANSPORT,0.0,LOW,82.17070022723794,17.829299772762056,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,12.911930667997114,LOW
61_1203,6.220240552665621e-05,LOW,42.88713405238829,MODERATE,15.262738907667522,LOW,INFRASTRUCTURE,0.0,LOW,83.17597567598025,16.824024324019746,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,13.276906823988663,LOW
62_218,0.7532799020424019,VERY_HIGH,64.0215716486903,HIGH,55.26776910411356,HIGH,TRANSPORT,0.0,LOW,71.17669331262896,28.823306687371044,MODERATE,VERY HIGH SUSCEPTIBILITY,high static landslide susceptibility; unstable terrain conditions,prioritize location for detailed assessment,VERY HIGH SUSCEPTIBILITY. Main evidence: high static landslide susceptibility; unstable terrain conditions. Recommended response: prioritize location for detailed assessment.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,57.399345356375356,HIGH
62_993,0.126005266955267,LOW,23.946456086286595,LOW,49.72940314241317,MODERATE,TRANSPORT,0.0,LOW,72.87154312191058,27.128456878089423,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,20.32620877071848,LOW
62_1076,0.0058813547904324,LOW,34.707241910631744,MODERATE,26.348012951025076,MODERATE,SETTLEMENT,0.0,LOW,82.69986320812433,17.300136791875673,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,13.565581359461744,LOW
67_1132,2.1798365122615804e-05,LOW,29.81317411402157,MODERATE,17.656041141446856,LOW,SETTLEMENT,0.0,LOW,83.17928146110421,16.82071853889579,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,11.019291989564035,LOW
69_27,0.4316771766880461,MODERATE,26.92989214175655,MODERATE,64.91098375654751,HIGH,TRANSPORT,0.0,LOW,47.86202323468321,52.13797676531679,LOW,MODERATE SUSCEPTIBILITY,"high exposure to roads, settlements or infrastructure","check nearby roads, settlements and infrastructure","MODERATE SUSCEPTIBILITY. Main evidence: high exposure to roads, settlements or infrastructure. Recommended response: check nearby roads, settlements and infrastructure.",24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,36.955369011907685,MODERATE
70_593,0.0077376713809956,LOW,31.04969183359014,MODERATE,26.084917413330743,MODERATE,SETTLEMENT,0.0,LOW,82.5479827598055,17.452017240194493,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,12.878141259974615,LOW
80_1256,0.0018538690721933,LOW,98.82896764252698,EXTREME,18.841363427554985,LOW,SETTLEMENT,0.0,LOW,83.02938476688934,16.970615233110664,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,25.082692219999522,MODERATE
83_532,0.0999959750054757,LOW,66.47342064714945,HIGH,58.60603202815658,HIGH,SETTLEMENT,0.0,LOW,74.99957609962078,25.000423900379214,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,28.992677878011953,MODERATE
84_1435,0.0279374458874458,LOW,17.973805855161785,LOW,40.87462806120437,MODERATE,TRANSPORT,0.0,LOW,80.8952739365505,19.104726063449505,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,13.390410514260248,LOW
85_1002,0.020893154786479,LOW,95.34668721109398,EXTREME,27.84201809808081,MODERATE,INFRASTRUCTURE,0.0,LOW,81.4716250266296,18.528374973370404,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,26.593102191434646,MODERATE
87_1024,0.1951306794654621,LOW,94.43952234206472,EXTREME,50.83214181071132,HIGH,TRANSPORT,0.0,LOW,67.21582755289462,32.78417244710538,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,37.700876385077606,MODERATE
92_891,0.00014438949584,LOW,55.98805855161788,HIGH,23.416346402011555,LOW,INFRASTRUCTURE,0.0,LOW,83.16925127768188,16.83074872231812,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,17.123831267050285,LOW
93_93,0.6908721354125281,HIGH,58.72688751926041,HIGH,65.51367590888982,HIGH,TRANSPORT,0.0,LOW,66.07060331563927,33.929396684360725,MODERATE,HIGH SUSCEPTIBILITY,"high static landslide susceptibility; high exposure to roads, settlements or infrastructure","check nearby roads, settlements and infrastructure","HIGH SUSCEPTIBILITY. Main evidence: high static landslide susceptibility; high exposure to roads, settlements or infrastructure. Recommended response: check nearby roads, settlements and infrastructure.",24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,55.068945052861494,HIGH
93_428,0.0016535159625936,LOW,34.89021571648691,MODERATE,31.14694349554844,MODERATE,TRANSPORT,0.0,LOW,83.0457772940384,16.954222705961598,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,14.131762955058534,LOW
94_580,0.0238975061227602,LOW,58.64791987673344,HIGH,31.86677529459256,MODERATE,SETTLEMENT,0.0,LOW,81.22581446275206,18.774185537247945,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,19.992258114171953,LOW
96_631,0.0066060301151077,LOW,86.36748844375963,EXTREME,26.35813597330029,MODERATE,TRANSPORT,0.0,LOW,82.6405715906509,17.359428409349107,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,23.93175950903899,LOW
97_1012,0.0818039398196932,LOW,31.276964560862865,MODERATE,55.83336708898141,HIGH,INFRASTRUCTURE,0.0,LOW,76.48801534209389,23.511984657906112,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,20.71884533651815,LOW
101_401,0.1135609575846148,LOW,66.33667180277351,HIGH,43.406980763519925,MODERATE,TRANSPORT,0.0,LOW,73.88971388860031,26.110286111399688,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,27.295894635502528,MODERATE
102_554,0.0124385979380986,LOW,70.9553158705701,HIGH,45.28638510101645,MODERATE,SETTLEMENT,0.0,LOW,82.16336149604254,17.83663850395746,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,23.9510279155931,LOW
102_1442,0.0015932269365511,LOW,25.0462249614792,MODERATE,22.14439050483086,LOW,INFRASTRUCTURE,0.0,LOW,83.05071003253279,16.94928996746721,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,10.809868849277443,LOW
104_1297,0.0125535159625936,LOW,42.062788906009246,MODERATE,42.52721933812843,MODERATE,SETTLEMENT,0.0,LOW,82.15395911222024,17.846040887779765,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,17.763818969349998,LOW
