incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category,risk_component,mean_risk_component,priority_component,size_component,priority_score,priority_level,priority_rank,priority_recommendation
RISK_ZONE_CLUSTER_42,4,82.08314554012628,80.65903545016982,59.8475147390841,CRITICAL,0,3011925.5044235187,635971.000872824,"474_471,476_474,477_475,480_471",CRITICAL_RISK_ZONE,93.10801015911564,93.66674427147557,97.43545407767178,42.857142857142854,89.27653123102938,P1_CRITICAL,11,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_10,2,84.45754856427473,79.55139125986132,60.184374489238856,CRITICAL,0,3016850.5044235187,616446.000872824,"280_522,283_522",CRITICAL_RISK_ZONE,100.0,90.28211567264658,98.55397138565557,14.285714285714285,89.12348740951465,P1_CRITICAL,12,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_46,5,82.9871938625393,76.1022639484477,59.85181872426036,CRITICAL,0,3006270.5044235187,637176.000872824,"486_416,489_412,489_418,489_419,491_416",CRITICAL_RISK_ZONE,95.73211895209262,79.7426165795658,97.44974513473854,57.14285714285714,89.10469884232519,P1_CRITICAL,13,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_25,2,83.18796087825785,81.93812721896381,60.38331042268812,CRITICAL,0,3001400.5044235187,625296.000872824,"368_367,372_368",CRITICAL_RISK_ZONE,96.31486931866662,97.57526527403786,99.21452309787611,14.285714285714285,89.08894645124802,P1_CRITICAL,14,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_55,2,82.85047403602732,82.00129708244077,60.12723622463676,CRITICAL,0,3002250.5044235187,639046.000872824,"506_378,509_374",CRITICAL_RISK_ZONE,95.33527324149303,97.76829343992269,98.36424810207467,14.285714285714285,88.47416510074649,P1_CRITICAL,15,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_111,3,82.53641696357444,79.68556118841965,59.87740217907239,CRITICAL,0,3055217.1710901856,663262.6675394906,"747_903,750_906,752_908",CRITICAL_RISK_ZONE,94.42368488400287,90.69209875320145,97.53469306037267,28.57142857142857,87.86989407067762,P1_CRITICAL,16,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_53,8,80.81310935939332,73.05381232826866,58.73988044560929,CRITICAL,0,2998488.0044235187,638808.500872824,"500_338,500_339,505_335,505_338,506_339,508_338,508_340,509_340",CRITICAL_RISK_ZONE,89.421577668024,70.42746228535987,93.7576382282009,100.0,87.764611964733,P1_CRITICAL,17,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_3,5,82.3149910391984,75.12340326369383,59.82318692471799,CRITICAL,0,3018510.5044235187,609376.000872824,"208_541,208_542,212_536,212_538,214_536",CRITICAL_RISK_ZONE,93.7809695548075,76.75151176732055,97.35467541111571,57.14285714285714,87.60469322019213,P1_CRITICAL,18,Immediate review and prioritized assessment.
RISK_ZONE_ISOLATED_41,1,82.73163919637264,82.73163919637264,60.18921233250644,CRITICAL,0,3023050.5044235187,620096.000872824,318_584,CRITICAL_RISK_ZONE,94.99034085246151,100.0,98.57003507811399,0.0,87.38816215313618,P1_CRITICAL,19,Immediate review and prioritized assessment.
RISK_ZONE_CLUSTER_101,2,82.47709507710917,80.90770814495838,59.9852344431236,CRITICAL,0,3048750.5044235187,660146.000872824,"718_841,719_841",CRITICAL_RISK_ZONE,94.25149598653995,94.4266134802824,97.89274193277416,14.285714285714285,87.20025280176442,P1_CRITICAL,20,Immediate review and prioritized assessment.
