incident_id,priority_rank,priority_score,priority_level,max_risk_score,historical_hotspot_distance_m,hotspot_id,event_count,hotspot_score,hotspot_category,historical_current_score,historical_current_category,persistent_risk_zone
RISK_ZONE_CLUSTER_131,173,48.68510864786722,P3_MODERATE,67.83770301064888,236.701090482932,678_3030,1,12.5,LOW,48.46418764693411,MODERATE,0
RISK_ZONE_ISOLATED_120,174,48.683877882554974,P3_MODERATE,71.25720720818012,32.61966046614824,638_3007,1,12.5,LOW,50.43538959740121,STRONG,0
RISK_ZONE_ISOLATED_26,175,48.472998833086905,P3_MODERATE,71.16515513039316,37.84658427389031,617_3021,1,12.5,LOW,50.3825552412419,STRONG,0
RISK_ZONE_ISOLATED_45,176,48.174739386111405,P3_MODERATE,71.03496011157578,34.896749499085914,620_3022,1,12.5,LOW,50.348616515214985,STRONG,0
RISK_ZONE_ISOLATED_207,177,48.17251066221003,P3_MODERATE,71.03398723794774,43.90716937445523,660_3047,1,12.5,LOW,50.31279570194044,STRONG,0
RISK_ZONE_ISOLATED_171,178,48.00097460773443,P3_MODERATE,70.9591090067072,27.582071196894187,651_3016,1,12.5,LOW,50.3509651451194,STRONG,0
RISK_ZONE_ISOLATED_13,179,47.65025953198614,P3_MODERATE,70.80601626698139,397.85054745049223,613_3001,2,25.0,MODERATE,54.55799838367959,STRONG,0
RISK_ZONE_ISOLATED_65,180,47.60911744745581,P3_MODERATE,70.78805708907795,53.379489373597316,627_3016,1,12.5,LOW,50.18955744098672,STRONG,0
RISK_ZONE_ISOLATED_206,181,47.599843882631234,P3_MODERATE,70.78400902971526,55.50379541097493,660_3012,1,12.5,LOW,50.17982545793137,STRONG,0
RISK_ZONE_CLUSTER_123,182,47.526303090220125,P3_MODERATE,66.00288739531527,124.5465677872204,668_3015,1,12.5,LOW,48.23993219629297,MODERATE,0
RISK_ZONE_ISOLATED_225,183,47.36853272435364,P3_MODERATE,70.68303800965201,33.43484338776864,668_3030,1,12.5,LOW,50.23121230032334,STRONG,0
RISK_ZONE_ISOLATED_108,184,47.35100346656788,P3_MODERATE,70.67538620827433,49.54556478450702,636_3001,1,12.5,LOW,50.16514745546641,STRONG,0
RISK_ZONE_ISOLATED_229,185,47.28686227777713,P3_MODERATE,70.64738755352505,371.75549172928476,671_3028,2,25.0,MODERATE,54.592473904837,STRONG,0
RISK_ZONE_ISOLATED_211,186,47.03516603943375,P3_MODERATE,70.53751811998428,22.30783701696595,661_3013,1,12.5,LOW,50.22429633728792,STRONG,0
RISK_ZONE_ISOLATED_38,187,46.95405783944517,P3_MODERATE,70.50211309348525,453.500048443494,619_3015,2,25.0,MODERATE,54.26258731568014,STRONG,0
RISK_ZONE_ISOLATED_60,188,46.59987844032432,P3_MODERATE,70.34750812120066,14.814507489176268,625_3018,1,12.5,LOW,50.18754486949251,STRONG,0
