cell_id,label,elevation_m,slope_deg,aspect_deg,elevation_std_m,aspect_sin,aspect_cos,terrain_imputed,road_distance_m,settlement_distance_m,amenity_distance_m,road_density_500m_km_per_km2,settlements_within_1km,amenities_within_1km,near_road_250m,near_settlement_1km,near_amenity_1km,osm_context_available
815_507,1,1203.0,10.931544303894045,285.255126953125,6.036923408508301,-0.9647637833512268,0.2631175447092555,0,54.56246942186846,1584.844001543394,4897.88769120368,15.732315638809782,0,0,1,0,0,1
816_878,0,3753.0,33.38970947265625,205.9065093994141,15.661543846130373,-0.4369039847144684,-0.8995081479011847,0,5014.211481096635,7043.303883223161,6753.983377302467,0.0,0,0,0,0,0,1
817_215,0,736.0,14.85004425048828,116.56503295898438,6.789607048034668,0.8944273331984621,-0.4472133111027523,0,146.1154207157836,1271.6559094137433,5432.377925318438,3.930775268158808,0,0,1,0,0,1
818_643,1,3275.0,28.390134811401367,122.19573974609376,13.283239364624023,0.846232786047709,-0.5328133555176073,0,24.642278966834727,966.2400894009056,370.5129127335721,3.0566194562647278,1,3,1,1,1,1
820_643,1,3250.0,29.74552345275879,168.02386474609375,13.370318412780762,0.2075042563262624,-0.9782341149267312,0,31.817696934538493,1112.1373344847214,361.7394169021608,4.028363847650304,0,3,1,0,1,1
820_1220,0,5204.0,16.14379119873047,339.4439697265625,7.192245960235596,-0.3511231973380586,0.9363292691628832,0,1637.939521304363,2720.4501296182816,5846.156916648944,0.0,0,0,0,0,0,1
821_178,0,364.0,6.115067958831787,161.5650634765625,2.948110580444336,0.3162275623663065,-0.948683365934,0,299.89446345391235,2016.842004847064,6837.008143655099,8.874367795432413,0,0,0,0,0,1
822_524,1,1680.0,13.633127212524414,257.9052429199219,14.191116333007812,-0.9778024140661972,-0.2095290887831982,1,752.9624993638533,1776.5943306021331,5067.731310915827,0.0,0,0,0,0,0,1
824_651,1,3550.0,33.82723617553711,159.2744140625,15.916448593139648,0.3538925393334441,-0.9352860902441172,0,305.49778712149777,1963.4946705059535,608.3285980571856,2.080452190483907,0,1,0,0,1,1
825_466,0,1206.0,26.16244888305664,90.0,11.939146041870115,1.0,6.123233995736766e-17,0,203.4038238679804,2102.854716924874,2624.3446186862448,75.00807151480727,0,0,1,0,0,1
825_646,1,3318.0,14.497506141662598,148.39248657226562,7.104163646697998,0.5240975918686279,-0.8516582144249565,0,16.48438333716925,1690.9832488281818,222.28989985862427,6.143067852119454,0,1,1,0,1,1
826_645,1,3363.0,30.32098388671875,280.00799560546875,13.022298812866213,-0.9847835108822888,0.1737856055441678,0,13.26361177518641,1717.4221290398243,298.3634465409152,6.143067852119454,0,1,1,0,1,1
826_1489,0,5024.0,5.882956504821777,350.5376892089844,2.393406629562378,-0.1643987907521455,0.9863939565909924,0,1225.5443642917885,9350.681354794022,13346.599426183537,0.0,0,0,0,0,0,1
827_524,1,1970.0,25.89058303833008,240.7511749267578,27.927764892578125,-0.8725060267228513,-0.4886033496941082,1,1252.1495211543695,2074.4642890868213,4684.882466213888,0.0,0,0,0,0,0,1
827_978,1,2573.0,31.46404266357422,138.366455078125,14.634645462036133,0.6643639116888408,-0.747409253920168,0,52.790659477240325,1803.8453676091165,430.6221191649594,9.007445910890986,0,1,1,0,1,1
828_97,0,176.0,4.110692024230957,225.0,1.6178022623062134,-0.7071067811865475,-0.7071067811865477,0,20.90325862064117,936.81193382294,1709.1306560967466,9.838585057388482,1,0,1,1,0,1
830_286,0,1842.0,30.937742233276367,227.2906188964844,15.507067680358888,-0.7348035494412634,-0.6782799891847915,0,2002.51440495969,5540.034528100818,2677.8143031443265,0.0,0,0,0,0,0,1
830_643,1,3398.0,9.519532203674316,225.0,4.331908702850342,-0.7071067811865475,-0.7071067811865477,0,32.06161301512121,1988.2145640502015,726.3483654460022,30.134768971541604,0,1,1,0,1,1
831_375,0,2684.0,32.41354751586914,223.9190826416016,15.15190601348877,-0.6936417729105013,-0.7203201308262712,0,4435.723374186986,6546.921567445627,8462.10522140798,0.0,0,0,0,0,0,1
832_990,1,2619.0,45.09853363037109,111.8013916015625,21.978666305541992,0.9284768068142416,-0.3713903865315168,0,27.31054022577049,522.9561064610447,306.9611211871432,15.42484545015343,1,8,1,1,1,1
837_643,1,3496.0,37.208045959472656,218.65982055664065,18.720821380615234,-0.6246952152225708,-0.7808686753084836,0,36.32680028945952,1751.4235526621935,1393.7308131440448,29.10819498260152,0,0,1,0,0,1
840_198,0,381.0,5.882956504821777,170.53765869140625,2.249828577041626,0.1643993161373233,-0.9863938690267596,0,688.6324651285914,3431.160653072656,7639.628269321882,0.0,0,0,0,0,0,1
842_1240,0,5015.0,21.504642486572266,205.4633636474609,9.776515007019045,-0.4299338732619738,-0.9028603793621454,0,2778.0461895319154,3972.370579345636,8792.629268811172,0.0,0,0,0,0,0,1
846_1668,0,4794.0,4.936678409576416,101.3099365234375,1.7916128635406494,0.9805806618302796,-0.1961162044413744,0,3067.0999104954158,9898.394393055289,31315.70880404985,0.0,0,0,0,0,0,1
848_85,0,155.0,1.372323989868164,45.0,0.6849348545074463,0.7071067811865476,0.7071067811865476,0,7.361436293719839,511.8007622265853,166.4460816903467,23.671629013764527,1,12,1,1,1,1
851_953,0,3797.0,24.09501266479492,335.3764343261719,10.614455223083496,-0.4166547245770534,0.9090648164391908,0,2308.110976343456,4380.738736161011,3605.5423840946746,0.0,0,0,0,0,0,1
854_110,0,176.0,3.0662660598754883,288.4349365234375,1.196703314781189,-0.948683365934,0.3162275623663066,0,127.62440169887496,884.559956346389,810.9332235962679,5.797266088534945,1,1,1,1,1,1
854_858,0,4785.0,34.59613037109375,294.6768798828125,29.74890518188477,-0.9086767221835998,0.4175004366005727,1,3672.4371588711942,6621.646685036542,9596.634162503433,0.0,0,0,0,0,0,1
856_147,0,232.0,3.0662660598754883,161.5650634765625,1.0304020643234253,0.3162275623663065,-0.948683365934,0,273.2611819718105,2263.816398426176,3380.574437875985,5.153521466607394,0,0,0,0,0,1
856_1234,0,5073.0,5.803462505340576,270.0,2.748737096786499,-1.0,-1.8369701987210292e-16,0,4219.139162582596,5412.770626270577,9382.186997233925,0.0,0,0,0,0,0,1
856_1274,0,5189.0,13.374212265014648,274.08563232421875,5.7176361083984375,-0.9974586805014992,0.0712473205966919,0,1274.7292413438777,6323.255886193109,10297.488278775398,0.0,0,0,0,0,0,1
857_241,0,765.0,17.863981246948242,183.01280212402344,7.6851630210876465,-0.052559087934427,-0.9986178159213368,0,2444.1410487801227,3820.2487675399702,4698.696121627702,0.0,0,0,0,0,0,1
858_291,0,1477.0,28.28385162353516,241.8214263916016,12.959576606750488,-0.8814801060316131,-0.4722211586433799,0,4786.618513490074,7376.951980969701,5336.115423996193,0.0,0,0,0,0,0,1
860_566,0,3074.0,43.51225662231445,195.5241241455078,21.93931007385254,-0.2676440849028894,-0.9635178482085814,0,4457.039437940406,4539.287478524797,7334.621693827681,0.0,0,0,0,0,0,1
860_711,0,4205.0,40.46598052978516,83.1572265625,22.793760299682617,0.9928768384352076,0.1191452210493858,0,1669.9889729014762,3763.744578358128,6401.483357983375,0.0,0,0,0,0,0,1
860_1568,0,4777.0,3.0662660598754883,251.5650634765625,1.7708196640014648,-0.948683365934,-0.3162275623663061,0,20.00139376623864,1576.20805228347,21852.74307142245,11.183242069799146,0,0,1,0,0,1
864_648,1,3792.0,28.75106811523437,171.11932373046875,13.104517936706545,0.1543771754749078,-0.9880119876258534,0,36.05079652297232,439.6491315556685,581.52595689302,28.044482675137328,3,5,1,1,1,1
867_649,1,3814.0,23.406394958496094,149.4207763671875,11.015141487121582,0.5087292634472526,-0.8609265569794069,0,10.710117790724034,132.24887109536203,895.4376639311384,56.601804875385525,2,1,1,1,1,1
869_1488,0,4993.0,0.9704723954200744,270.0,0.6849349141120911,-1.0,-1.8369701987210292e-16,0,2787.03983572652,8551.046001215696,14787.123564592186,0.0,0,0,0,0,0,1
870_1206,0,5193.0,25.71140480041504,219.28941345214844,12.211105346679688,-0.6332378792709042,-0.7739572263739694,0,4865.836427437152,7125.322122834955,9192.894458801053,0.0,0,0,0,0,0,1
870_1438,0,5232.0,7.717507839202881,270.0,3.197221040725708,-1.0,-1.8369701987210292e-16,0,3180.338491042068,13386.448831570233,10758.533481441851,0.0,0,0,0,0,0,1
871_353,0,2389.0,39.83407211303711,66.03750610351562,20.186782836914062,0.9138115137315508,0.4061385445530276,0,2882.44326439351,4222.1430533819,5468.239248493087,0.0,0,0,0,0,0,1
872_911,0,4474.0,18.910505294799805,81.46923828125,8.603759765625,0.9889363629427212,0.148340385767404,0,1299.116926586844,5098.594663608975,6694.383020825327,0.0,0,0,0,0,0,1
874_637,1,3891.0,29.91812515258789,132.61404418945312,14.061593055725098,0.7359311509663597,-0.6770563795115804,0,24.819779734078192,1314.244621628212,1355.3480518527265,28.044482675137328,0,0,1,0,0,1
875_51,0,132.0,1.372323989868164,45.0,0.8314793705940247,0.7071067811865476,0.7071067811865476,0,24.91095621277937,3018.4624606660027,3613.585649658072,11.684234813139764,0,0,1,0,0,1
875_463,0,2310.0,28.87726211547852,42.51043701171875,13.952300071716309,0.6757244990068975,0.7371542589186318,0,2223.344627571147,3148.496885842706,3246.470994147592,0.0,0,0,0,0,0,1
875_1630,0,4695.0,2.169212579727173,333.4349365234375,1.0304020643234253,-0.447213787503503,0.8944270949981176,0,4.381643289140566,5668.945178162542,28224.582684516925,15.21354802693659,0,0,1,0,0,1
877_266,0,1217.0,34.46640396118164,254.24884033203125,16.61176109313965,-0.9624497422952114,-0.271459929926833,0,2219.4806998086947,5598.014978634122,3762.7111906802447,0.0,0,0,0,0,0,1
877_1645,0,4769.0,5.212227821350098,68.19857788085938,2.0,0.9284766089996246,0.3713908810681251,0,1260.3794940179707,7172.174685354056,29722.54392166087,0.0,0,0,0,0,0,1
878_1496,0,4975.0,0.0,0.0,0.8314794301986694,0.0,1.0,0,3362.4902419880004,7737.53084427658,15928.025789202828,0.0,0,0,0,0,0,1
880_646,1,3907.0,26.376728057861328,97.85330200195312,11.916375160217283,0.9906211561914442,-0.1366372017641105,0,30.333507523640435,469.48059377184217,465.6092090386911,28.044482675137328,2,1,1,1,1,1
882_411,0,1860.0,28.612285614013672,216.1581878662109,13.936363220214844,-0.5900166235342855,-0.8073910972714532,0,1245.6614481466472,2421.2691573120187,7207.049464636137,0.0,0,0,0,0,0,1
885_511,1,3083.0,53.55217742919922,226.52078247070312,26.898069381713867,-0.7256240050093545,-0.6880914207822855,0,26.886380392435523,848.6771717943931,2953.351006195729,68.20152502181557,1,0,1,1,0,1
885_634,1,3855.0,27.21949577331543,162.758544921875,13.880441665649414,0.296399142848728,-0.9550641591634248,0,37.55367511783497,1194.030350085667,1142.7332863908323,28.044482675137328,0,0,1,0,0,1
